"id","timestamp","open","high","low","close","volume"
"1","1313366400","10.90000000","11.85000000","10.90000000","11.70000000","2.58742658"
"2","1313971200","11.70000000","11.70000000","10.00000000","10.00000000","3.48515423"
"3","1314576000","8.00000000","8.89000000","5.25000000","8.89000000","245.44022497"
"4","1315180800","8.00000000","8.50000000","7.40000000","7.40000000","30.86000000"
"5","1315785600","5.80000000","6.00000000","4.80000000","4.92000000","359.68496800"
"6","1316390400","4.90000000","6.05000000","4.90000000","6.05000000","294.17555858"
"7","1316995200","6.06000000","6.06000000","4.80000000","4.82000000","193.95078914"
"8","1317600000","4.85000000","6.25000000","3.89000000","3.89000000","619.30112175"
"9","1318204800","3.99000000","4.51000000","3.93000000","4.05000000","496.70280366"
"10","1318809600","3.92000000","3.92000000","2.22000000","2.27000000","113.67567266"
"11","1319414400","2.99000000","4.40000000","2.66000000","3.50000000","786.29998902"
"12","1320019200","3.25000000","3.55000000","2.95000000","2.95000000","531.75220235"
"13","1320624000","3.08000000","3.35000000","2.95000000","3.35000000","325.71396942"
"14","1321228800","2.95000000","3.00000000","2.37000000","2.37000000","451.68903078"
"15","1321833600","2.45000000","15.00000000","2.25000000","2.77000000","818.04224926"
"16","1322438400","2.67000000","3.48000000","2.66000000","2.93000000","623.40805645"
"17","1323043200","2.82000000","3.50000000","2.82000000","3.27000000","942.46275173"
"18","1323648000","3.37000000","3.60000000","3.25000000","3.50000000","437.13214799"
"19","1324252800","3.50000000","4.75000000","3.50000000","4.27000000","459.81223274"
"20","1324857600","4.27000000","5.00000000","4.21000000","5.00000000","360.58147902"
"21","1325462400","5.00000000","7.00000000","4.93000000","7.00000000","348.29897511"
"22","1326067200","6.99000000","7.38000000","6.23000000","7.15000000","399.32531445"
"23","1326672000","6.20000000","7.10000000","5.52000000","6.79000000","731.83677615"
"24","1327276800","6.50000000","6.86000000","3.80000000","5.50000000","393.19403684"
"25","1327881600","5.30000000","6.50000000","3.80000000","5.60000000","659.76094088"
"26","1328486400","5.60000000","5.90000000","5.20000000","5.67000000","605.41239010"
"27","1329091200","5.53000000","5.80000000","4.14000000","4.38000000","1003.28654553"
"28","1329696000","4.72000000","5.22000000","4.30000000","4.98000000","1662.84575012"
"29","1330300800","4.97000000","5.10000000","4.60000000","4.81000000","1768.19657087"
"30","1330905600","4.80000000","5.09000000","4.77000000","5.00000000","1931.06152748"
"31","1331510400","4.85000000","5.44000000","4.85000000","5.25000000","3320.56154333"
"32","1332115200","5.24000000","5.37000000","4.54000000","4.54000000","1700.83156356"
"33","1332720000","4.60000000","4.97000000","4.54000000","4.89000000","1591.67646538"
"34","1333324800","4.80000000","5.04000000","4.69000000","4.76000000","2971.01334483"
"35","1333929600","4.70000000","5.01000000","4.70000000","4.99000000","3417.66511572"
"36","1334534400","4.93000000","5.43000000","4.93000000","5.17000000","2986.45449335"
"37","1335139200","5.20000000","5.25000000","4.81000000","4.91000000","6305.55444020"
"38","1335744000","4.92000000","5.15000000","4.86000000","5.08000000","4888.39141380"
"39","1336348800","5.05000000","5.08000000","4.87000000","4.94000000","3801.05673357"
"40","1336953600","4.93000000","5.08000000","4.88000000","5.03000000","3215.90350667"
"41","1337558400","5.04000000","5.12000000","5.00000000","5.07000000","4072.16254141"
"42","1338163200","5.08000000","5.24000000","4.95000000","5.19000000","4053.67368255"
"43","1338768000","5.18000000","5.63000000","5.14000000","5.42000000","6494.09100923"
"44","1339372800","5.48000000","6.52000000","5.40000000","6.19000000","18400.56338304"
"45","1339977600","6.13000000","6.69000000","5.98000000","6.40000000","9128.44915345"
"46","1340582400","6.35000000","6.68000000","5.99000000","6.52000000","29015.80645697"
"47","1341187200","6.55000000","6.80000000","6.36000000","6.73000000","11051.75319861"
"48","1341792000","6.77000000","7.69000000","6.55000000","7.57000000","8568.65190628"
"49","1342396800","7.57000000","9.20000000","7.14000000","8.42000000","17708.52084662"
"50","1343001600","8.42000000","9.00000000","8.10000000","8.71000000","9294.69189732"
"51","1343606400","8.70000000","12.00000000","8.54000000","10.71000000","13338.89831060"
"52","1344211200","10.71000000","12.49000000","10.43000000","11.49000000","12039.89163622"
"53","1344816000","11.42000000","16.41000000","7.10000000","8.06000000","21354.05359630"
"54","1345420800","8.09000000","10.71000000","7.86000000","10.31000000","23835.23331651"
"55","1346025600","10.31000000","11.93000000","9.49000000","10.18000000","18457.40289384"
"56","1346630400","10.17000000","11.15000000","9.95000000","10.98000000","12905.95630938"
"57","1347235200","10.85000000","11.80000000","10.38000000","11.75000000","15850.18736428"
"58","1347840000","11.75000000","12.66000000","11.58000000","11.99000000","10337.37596497"
"59","1348444800","11.99000000","12.38000000","11.53000000","12.22000000","14524.89114595"
"60","1349049600","12.21000000","12.99000000","11.50000000","11.71000000","26309.51218535"
"61","1349654400","11.70000000","12.26000000","10.42000000","11.79000000","11098.02589644"
"62","1350259200","11.78000000","11.97000000","11.03000000","11.32000000","21631.21934473"
"63","1350864000","11.54000000","11.70000000","9.50000000","10.54000000","16234.38897296"
"64","1351468800","10.67000000","11.05000000","10.32000000","10.64000000","16281.44376326"
"65","1352073600","10.63000000","10.87000000","10.25000000","10.82000000","19906.27563749"
"66","1352678400","10.78000000","11.65000000","10.72000000","11.51000000","16382.41361036"
